"","id","fast_greedy","walks","infomap","louvain"
"1","1",1,3,1,1
"2","9",1,3,1,4
"3","11",4,3,1,1
"4","13",4,3,3,1
"5","14",4,3,1,1
"6","15",4,3,1,1
"7","17",1,3,1,1
"8","19",4,3,1,1
"9","21",4,3,1,1
"10","22",4,3,1,1
"11","25",1,3,1,1
"12","26",4,3,1,1
"13","27",1,3,1,4
"14","28",4,1,3,1
"15","34",4,3,1,1
"16","39",1,2,1,3
"17","41",1,3,1,3
"18","42",1,3,1,3
"19","44",2,1,2,1
"20","45",4,1,3,1
"21","49",2,1,2,2
"22","50",1,2,1,3
"23","54",1,3,1,3
"24","55",1,3,1,4
"25","56",4,1,3,1
"26","57",4,3,1,1
"27","64",4,3,1,1
"28","66",1,3,1,4
"29","67",1,3,1,1
"30","68",1,3,1,1
"31","69",4,3,1,1
"32","71",1,3,1,4
"33","72",1,3,1,4
"34","77",4,3,1,1
"35","78",1,3,1,3
"36","87",1,2,1,3
"37","88",4,3,1,1
"38","89",4,3,1,1
"39","92",1,3,1,4
"40","95",1,3,1,3
"41","98",4,3,1,1
"42","104",1,3,1,4
"43","107",1,3,1,3
"44","116",4,1,3,1
"45","119",1,3,1,3
"46","121",4,1,3,1
"47","122",1,2,1,3
"48","126",1,3,1,3
"49","127",1,3,1,4
"50","129",4,3,1,1
"51","132",1,2,1,3
"52","135",1,3,1,1
"53","136",1,3,1,4
"54","138",2,1,2,2
"55","140",1,3,1,3
"56","141",4,1,3,1
"57","170",1,3,1,1
"58","175",1,2,1,3
"59","182",2,1,3,1
"60","189",1,3,1,1
"61","191",2,1,2,2
"62","192",4,3,1,1
"63","195",1,3,1,4
"64","199",1,3,1,4
"65","203",1,3,1,3
"66","204",4,3,1,1
"67","214",1,3,1,1
"68","217",1,3,1,4
"69","226",2,1,1,2
"70","228",2,1,2,2
"71","230",1,3,1,4
"72","232",4,3,1,1
"73","234",1,3,1,1
"74","239",4,3,3,1
"75","240",1,3,1,4
"76","244",4,3,1,1
"77","252",3,3,1,4
"78","253",1,2,1,3
"79","254",1,3,1,1
"80","256",4,3,1,4
"81","262",1,3,1,4
"82","264",1,3,1,1
"83","272",1,3,1,4
"84","287",4,3,1,1
"85","290",2,1,2,1
"86","301",4,1,3,1
"87","303",2,1,2,2
"88","310",3,3,1,4
"89","313",4,3,3,1
"90","319",1,3,1,3
"91","325",3,3,1,2
"92","326",1,2,1,3
"93","340",1,3,1,4
"94","357",4,3,1,1
"95","372",4,3,1,1
"96","374",1,3,1,4
"97","383",4,3,1,1
"98","386",4,3,1,1
"99","393",1,3,1,3
"100","396",4,1,3,1
"101","427",1,3,1,3
"102","433",4,3,1,1
"103","436",4,3,1,1
"104","456",4,1,3,1
"105","459",1,2,1,3
"106","465",1,2,1,3
"107","486",1,2,1,3
"108","506",1,2,1,3
"109","508",1,2,1,3
"110","512",1,2,1,3
"111","534",1,2,1,3
"112","536",1,2,1,3
"113","539",1,2,1,3
"114","540",4,1,3,1
"115","544",1,3,1,3
"116","557",1,3,1,4
"117","562",4,3,1,1
"118","574",1,2,1,3
"119","579",1,3,1,4
"120","587",1,3,1,4
"121","593",1,3,1,1
"122","603",3,3,1,4
"123","674",4,3,1,1
"124","692",1,2,1,3
"125","695",1,2,1,3
"126","698",1,2,1,3
"127","699",1,2,1,3
"128","703",1,3,1,4
"129","717",1,2,1,3
"130","718",1,2,1,3
"131","719",1,2,1,3
"132","732",1,3,1,4
"133","748",1,2,1,3
"134","749",1,2,1,3
"135","762",2,1,1,2
"136","797",4,3,1,1
"137","798",4,3,1,1
"138","801",1,3,1,4
"139","803",1,3,1,4
"140","804",4,3,1,1
"141","819",1,3,1,4
"142","835",1,3,1,4
"143","836",4,3,1,1
"144","839",1,3,1,4
"145","2",2,1,2,2
"146","5",2,1,2,2
"147","24",4,3,1,1
"148","29",2,1,2,2
"149","36",2,1,2,2
"150","37",2,1,2,2
"151","38",2,1,2,2
"152","43",4,1,3,1
"153","47",2,1,3,1
"154","52",1,3,1,3
"155","53",2,1,2,1
"156","83",4,3,1,1
"157","97",2,1,2,2
"158","99",2,1,2,2
"159","103",2,1,2,2
"160","106",4,1,2,1
"161","109",4,3,1,1
"162","111",2,1,2,2
"163","113",2,1,2,2
"164","114",4,1,3,1
"165","124",2,1,2,2
"166","128",2,1,2,2
"167","133",2,1,2,2
"168","142",2,1,2,2
"169","143",2,1,2,2
"170","144",3,3,1,4
"171","145",2,1,2,2
"172","150",2,1,2,2
"173","151",2,1,2,2
"174","153",2,1,2,2
"175","155",2,1,2,2
"176","157",2,1,2,2
"177","158",2,1,2,2
"178","159",4,3,1,1
"179","160",2,1,2,2
"180","162",4,3,1,1
"181","163",2,1,2,2
"182","164",2,1,2,2
"183","165",2,1,2,2
"184","166",2,1,2,2
"185","167",2,1,2,2
"186","168",2,1,2,2
"187","169",2,1,2,2
"188","171",2,1,2,2
"189","172",2,1,2,2
"190","176",2,1,2,2
"191","177",2,1,1,4
"192","178",2,1,2,4
"193","180",2,1,2,2
"194","181",2,1,2,2
"195","183",2,1,2,2
"196","184",4,1,3,1
"197","187",2,1,2,2
"198","206",1,2,1,3
"199","207",2,1,2,2
"200","208",4,1,3,1
"201","210",4,1,3,1
"202","211",2,1,2,2
"203","212",2,1,2,2
"204","213",2,1,2,2
"205","216",2,1,2,2
"206","218",2,1,2,2
"207","219",2,1,2,2
"208","222",2,1,2,2
"209","225",2,1,2,2
"210","229",3,3,1,4
"211","231",2,1,2,2
"212","233",2,1,1,2
"213","243",2,1,2,4
"214","248",2,1,2,2
"215","255",4,1,3,1
"216","258",2,1,2,2
"217","265",2,1,2,2
"218","266",2,1,2,2
"219","268",2,1,2,4
"220","274",2,1,2,2
"221","275",1,3,1,4
"222","277",2,1,2,2
"223","286",4,1,3,1
"224","288",2,1,2,2
"225","292",2,1,2,2
"226","293",2,1,2,2
"227","294",2,1,2,4
"228","296",2,1,2,2
"229","300",2,1,2,2
"230","302",2,1,2,2
"231","307",2,1,2,2
"232","318",4,1,3,1
"233","320",2,1,1,4
"234","332",2,1,2,2
"235","333",2,1,2,2
"236","334",1,3,1,4
"237","337",2,1,2,2
"238","341",2,1,2,2
"239","345",2,1,2,2
"240","347",3,3,1,4
"241","348",2,1,2,2
"242","350",2,1,2,2
"243","354",3,3,1,4
"244","356",2,1,2,2
"245","358",4,3,1,1
"246","363",4,1,3,1
"247","366",2,1,2,2
"248","368",2,1,2,2
"249","375",2,1,2,2
"250","378",2,1,2,2
"251","379",2,1,2,2
"252","382",2,1,2,2
"253","384",2,1,2,2
"254","392",2,1,2,2
"255","395",2,1,2,2
"256","397",2,1,2,2
"257","398",2,1,2,2
"258","400",4,1,3,1
"259","403",2,1,3,1
"260","404",2,1,2,2
"261","405",2,1,2,2
"262","408",4,1,3,1
"263","424",2,1,2,4
"264","428",2,1,2,2
"265","430",2,1,2,2
"266","432",2,1,2,2
"267","442",2,1,2,2
"268","514",2,1,3,1
"269","515",2,1,2,2
"270","524",2,1,2,2
"271","527",2,1,2,2
"272","529",2,1,2,2
"273","541",2,1,2,2
"274","543",2,1,2,2
"275","559",2,1,2,2
"276","560",2,1,2,2
"277","566",2,1,2,2
"278","568",2,1,2,2
"279","571",2,1,2,2
"280","573",2,1,2,2
"281","583",3,1,1,4
"282","584",2,1,2,2
"283","589",2,1,2,2
"284","591",2,1,2,2
"285","594",4,3,1,1
"286","595",2,1,2,2
"287","598",2,1,2,2
"288","599",2,1,2,2
"289","601",2,1,2,2
"290","605",4,1,3,1
"291","606",2,1,2,2
"292","608",2,1,2,2
"293","611",2,1,2,2
"294","613",2,1,2,2
"295","614",2,1,2,2
"296","615",2,1,2,2
"297","616",2,1,2,2
"298","619",2,1,2,2
"299","622",2,1,2,2
"300","626",2,1,2,2
"301","630",3,1,1,4
"302","633",2,1,2,2
"303","634",2,1,2,2
"304","635",2,1,2,2
"305","636",2,1,2,2
"306","638",2,1,2,2
"307","639",2,1,2,2
"308","644",2,1,2,2
"309","646",2,1,2,2
"310","647",2,1,2,2
"311","649",2,1,2,2
"312","650",2,1,2,2
"313","652",2,1,2,2
"314","655",2,1,2,2
"315","657",2,1,2,2
"316","660",2,1,2,2
"317","661",2,1,2,2
"318","662",2,1,2,2
"319","663",2,1,2,2
"320","665",2,1,2,2
"321","667",2,1,2,2
"322","668",2,1,2,2
"323","671",2,1,2,2
"324","673",2,1,2,2
"325","680",2,1,2,2
"326","682",2,1,2,2
"327","686",2,1,2,2
"328","687",2,1,2,2
"329","691",2,1,2,2
"330","693",2,1,2,2
"331","696",2,1,2,2
"332","700",2,1,2,2
"333","707",2,1,2,2
"334","727",2,1,2,2
"335","729",2,1,2,2
"336","730",2,1,2,2
"337","733",2,1,2,2
"338","736",2,1,2,2
"339","737",2,1,2,2
"340","738",2,1,2,2
"341","739",2,1,2,2
"342","740",2,1,2,2
"343","742",2,1,2,2
"344","744",2,1,2,2
"345","745",2,1,2,2
"346","746",2,1,2,2
"347","753",2,1,2,2
"348","754",2,1,2,2
"349","755",2,1,2,2
"350","757",2,1,2,2
"351","758",2,1,2,2
"352","761",2,1,2,2
"353","770",2,1,2,2
"354","771",2,1,2,2
"355","773",1,3,1,4
"356","775",2,1,2,2
"357","780",2,1,2,2
"358","781",2,1,2,2
"359","782",2,1,2,2
"360","799",2,1,1,4
"361","802",3,1,1,4
"362","810",1,3,1,4
"363","817",2,1,2,2
"364","821",2,1,2,2
"365","826",2,1,2,2
"366","831",3,3,1,4
"367","3",1,3,1,3
"368","4",4,3,1,1
"369","6",4,1,3,1
"370","16",4,3,1,1
"371","18",4,3,1,1
"372","20",4,1,3,1
"373","30",1,3,1,3
"374","31",1,2,1,3
"375","32",1,2,1,3
"376","40",1,2,1,3
"377","48",1,3,1,4
"378","51",1,3,1,3
"379","58",1,2,1,3
"380","61",1,3,1,4
"381","63",1,2,1,3
"382","65",4,3,1,1
"383","73",1,3,1,3
"384","74",2,1,2,2
"385","75",1,2,1,3
"386","81",4,3,3,1
"387","82",1,3,1,4
"388","84",1,3,1,4
"389","85",1,3,1,4
"390","90",4,3,1,1
"391","91",3,3,1,4
"392","93",4,3,1,1
"393","94",1,3,1,4
"394","96",1,2,1,3
"395","101",1,3,1,4
"396","102",1,2,1,3
"397","108",3,1,1,4
"398","115",1,2,1,3
"399","118",2,1,1,4
"400","120",1,3,1,4
"401","123",1,3,1,1
"402","125",1,3,1,4
"403","130",1,3,1,4
"404","131",4,3,1,1
"405","139",3,3,1,4
"406","149",3,3,1,4
"407","154",1,3,1,4
"408","173",1,3,1,4
"409","174",1,3,1,4
"410","186",2,1,2,1
"411","190",2,1,1,4
"412","193",1,3,1,4
"413","194",1,3,1,4
"414","196",1,3,1,4
"415","197",1,3,1,4
"416","200",1,2,1,3
"417","202",1,2,1,3
"418","215",1,3,1,4
"419","221",2,1,1,4
"420","235",3,3,1,4
"421","236",1,2,1,3
"422","237",1,2,1,3
"423","242",4,1,3,1
"424","246",1,3,1,3
"425","251",1,2,1,3
"426","260",4,3,1,1
"427","263",1,3,1,4
"428","267",2,1,1,4
"429","269",1,3,1,4
"430","273",1,3,1,4
"431","278",1,3,1,4
"432","282",1,2,1,3
"433","283",4,3,1,4
"434","298",1,3,1,4
"435","308",1,3,1,4
"436","309",1,3,1,4
"437","311",4,3,3,1
