"","ID","hour0","hour1","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour2","hour20","hour21","hour22","hour23","hour3","hour4","hour5","hour6","hour7","hour8","hour9"
"1",1,"29","41","1","1","1","3","1","1","1","1","4","4","1","1","1","1","6","50","48","18","75","1","1","1"
"2",2,"68","2","1","1","1","1","1","2","2","4","1","1","5","1","1","1","37","25","6","9","54","1","1","1"
"3",3,"46","59","1","1","1","2","1","1","1","1","3","2","22","2","1","2","77","46","37","46","8","1","1","1"
"4",4,"37","38","1","1","1","3","1","1","1","1","4","4","70","1","1","1","78","39","5","61","70","1","1","1"
"5",5,"50","57","1","1","1","1","1","2","4","2","1","1","45","1","1","1","61","11","3","65","11","1","1","1"
"6",6,"24","22","1","1","1","3","1","1","6","1","4","4","61","1","1","11","61","7","6","18","26","1","1","1"
"7",7,"3","7","1","1","1","3","1","1","6","1","4","4","55","1","1","20","5","24","27","17","23","1","1","1"
"8",8,"70","72","1","1","1","3","1","1","6","1","4","4","12","1","1","1","2","39","9","1","10","1","1","1"
"9",9,"70","38","1","1","1","5","1","1","1","1","2","3","49","1","1","1","3","27","6","1","34","1","1","1"
"10",10,"58","63","1","1","1","5","1","1","1","1","2","3","51","1","1","1","15","56","28","30","63","1","1","1"
"11",11,"48","80","1","1","1","3","1","1","1","1","4","4","63","1","1","1","67","42","55","40","17","1","1","1"
"12",12,"19","27","1","1","1","3","1","1","1","1","4","4","30","1","1","1","2","63","5","33","42","1","1","1"
"13",13,"31","35","1","1","1","3","1","1","1","1","4","4","51","1","1","1","16","45","29","19","30","1","1","1"
"14",14,"5","38","1","1","1","3","1","1","1","1","4","4","60","1","1","1","77","31","48","4","4","1","1","1"
"15",15,"8","70","1","1","1","3","1","1","1","1","4","4","61","1","1","1","16","35","31","10","4","1","1","1"
"16",16,"51","83","1","1","1","3","1","1","1","1","4","4","38","1","1","1","20","34","36","35","59","1","1","1"
"17",17,"64","38","1","1","1","3","1","1","1","1","4","4","28","1","1","4","12","65","16","1","25","1","1","1"
"18",18,"36","38","1","1","1","3","1","1","1","1","2","3","68","1","1","1","23","26","37","42","60","1","1","1"
"19",19,"26","72","1","1","1","3","1","1","1","1","4","4","6","1","1","1","78","26","32","31","49","1","1","1"
"20",20,"32","76","1","1","1","3","1","1","6","1","4","4","31","1","1","20","33","42","15","59","7","1","1","1"
"21",21,"26","14","1","1","1","3","1","1","1","1","4","4","41","1","1","1","32","57","7","3","16","1","1","1"
"22",22,"69","67","1","1","1","3","1","1","1","1","4","4","60","1","1","1","23","31","30","4","33","1","1","1"
"23",23,"51","53","1","1","1","3","1","1","1","1","4","4","6","1","1","1","33","31","52","25","4","1","1","1"
"24",24,"44","59","1","1","1","3","1","1","1","1","4","4","1","1","11","1","2","17","22","25","3","1","1","1"
"25",25,"44","20","1","1","1","3","1","1","1","1","4","4","30","1","3","1","9","57","13","33","39","1","1","1"
"26",26,"67","56","1","1","1","3","1","1","1","1","4","4","75","1","1","1","33","8","5","11","11","1","1","1"
"27",27,"33","27","1","1","1","3","1","1","1","1","2","4","39","1","1","17","27","3","12","4","1","1","1","1"
"28",28,"3","62","1","1","1","3","1","1","1","1","4","4","32","1","1","1","2","12","16","23","1","1","1","1"
"29",29,"41","7","1","1","1","1","1","3","2","4","5","1","22","1","1","1","54","52","28","30","22","1","1","1"
"30",30,"2","19","1","1","1","2","1","1","1","1","3","4","1","1","1","13","24","30","38","16","2","1","1","1"
"31",31,"76","11","1","1","1","2","1","4","1","1","3","2","1","1","3","2","14","3","7","23","14","1","1","1"
"32",32,"37","60","1","1","1","2","1","1","1","1","3","2","53","1","2","1","25","13","11","21","2","1","1","1"
"33",33,"8","80","1","2","2","2","2","4","3","3","3","2","7","2","2","2","48","32","7","55","27","1","1","1"
"34",34,"49","81","1","1","1","3","1","1","6","1","4","4","34","1","1","13","48","64","17","27","68","1","1","1"
"35",35,"34","82","1","1","1","1","1","3","2","4","5","1","49","1","1","1","48","38","23","22","1","1","1","1"
"36",36,"22","27","1","1","1","1","1","2","5","2","1","1","6","1","1","3","2","2","25","37","54","1","1","1"
"37",37,"71","3","1","1","1","1","1","2","2","4","1","1","7","1","1","3","21","39","17","40","13","1","1","1"
"38",38,"20","42","1","1","1","2","1","4","3","3","3","2","26","1","2","14","76","51","55","51","2","1","1","1"
"39",39,"34","34","1","1","2","2","2","4","3","3","3","2","70","1","1","2","2","57","9","9","14","1","1","1"
"40",40,"9","54","1","1","1","2","1","1","1","1","3","2","20","1","8","1","2","30","15","59","8","1","1","1"
"41",41,"3","34","1","1","1","2","1","1","1","1","3","2","26","1","1","2","30","24","35","34","28","1","1","1"
"42",42,"24","23","1","1","1","3","1","1","6","1","4","4","6","1","1","1","15","24","33","4","5","1","1","1"
"43",43,"60","31","1","1","1","1","1","1","1","1","4","1","7","1","1","1","62","27","11","6","31","1","1","1"
"44",44,"14","53","1","1","1","3","1","1","6","1","4","4","21","1","1","1","5","43","10","18","4","1","1","1"
"45",45,"45","63","2","5","2","2","2","4","3","3","3","2","38","2","10","2","32","32","50","59","21","1","1","1"
"46",46,"41","61","1","1","1","3","1","3","6","4","4","4","54","1","1","1","71","39","11","1","14","1","1","1"
"47",47,"31","72","1","1","1","3","1","1","1","1","2","2","31","1","1","1","13","14","7","20","43","1","1","1"
"48",48,"36","18","1","1","1","1","1","3","2","4","1","1","43","1","1","1","2","3","22","20","26","1","1","1"
"49",49,"31","7","7","1","1","2","1","1","3","3","3","2","49","1","13","2","2","56","8","10","26","1","1","1"
"50",50,"36","39","1","1","1","2","1","1","1","1","2","4","32","1","14","1","50","41","18","40","53","1","1","1"
"51",51,"8","44","1","1","1","2","1","1","1","1","3","2","11","1","1","1","4","5","51","27","19","1","1","1"
"52",52,"13","27","1","1","1","3","1","5","1","1","4","1","10","1","1","1","36","51","16","30","53","5","1","1"
"53",53,"40","89","1","1","1","2","1","1","1","1","2","3","37","1","1","2","40","59","43","53","27","1","1","1"
"54",54,"14","88","1","1","1","2","1","1","1","1","2","2","57","1","1","2","2","3","4","9","15","1","1","1"
"55",55,"4","50","1","1","1","3","1","1","6","1","4","4","45","1","1","1","2","2","2","28","8","1","1","1"
"56",56,"35","2","1","1","1","3","1","1","1","1","4","4","30","1","1","10","30","33","10","4","44","1","1","1"
"57",57,"20","23","1","1","1","2","1","1","3","1","3","2","13","1","8","1","31","22","56","6","3","1","1","1"
"58",58,"8","10","1","1","1","3","1","1","6","1","4","4","3","1","1","1","2","22","12","19","7","1","1","1"
"59",59,"14","31","1","1","1","5","1","1","1","1","2","3","26","1","1","1","26","46","2","24","58","1","1","1"
"60",60,"30","28","1","1","1","5","1","5","1","1","2","3","8","1","1","1","63","45","6","11","25","1","1","1"
"61",61,"22","28","1","1","1","2","1","1","1","1","3","2","30","1","1","2","40","42","37","20","26","8","1","1"
"62",62,"48","13","1","1","1","3","1","1","1","1","4","4","26","1","1","1","2","33","27","30","33","1","1","1"
"63",63,"77","53","1","1","1","3","1","1","1","1","4","4","38","1","1","13","77","32","6","8","25","1","1","1"
"64",64,"20","31","1","1","1","2","1","1","1","1","2","4","75","1","1","1","30","35","3","5","7","1","1","1"
"65",65,"64","4","1","1","1","3","1","1","1","1","2","4","37","1","1","1","71","1","8","20","5","1","1","1"
"66",66,"60","9","1","1","1","3","1","1","1","1","4","3","20","1","1","5","55","44","17","24","24","1","1","1"
"67",67,"2","18","1","1","1","3","1","1","1","1","4","4","59","1","1","1","3","21","30","2","7","1","1","1"
"68",68,"9","65","1","1","1","3","1","1","1","1","3","4","14","1","1","1","31","59","44","51","6","1","1","1"
"69",69,"16","48","1","1","1","2","1","1","1","1","2","2","3","1","1","1","24","28","22","31","20","1","1","1"
"70",70,"33","82","1","1","1","2","1","1","1","1","2","4","2","1","1","1","35","24","15","55","34","1","1","1"
"71",71,"28","65","1","1","1","2","1","1","1","1","3","2","47","1","1","1","2","47","21","14","10","1","1","1"
"72",72,"71","13","1","1","1","4","1","5","4","2","1","1","48","1","1","1","30","65","14","40","3","1","1","1"
"73",73,"75","38","1","1","1","2","1","1","1","1","3","2","50","1","1","1","2","20","48","23","45","1","1","1"
"74",74,"4","15","1","1","1","3","1","1","6","1","4","4","11","1","1","26","76","36","22","51","3","1","1","1"
"75",75,"45","44","1","1","1","3","1","1","1","1","4","4","25","1","5","1","16","20","35","41","5","1","1","1"
"76",76,"43","14","1","1","1","2","1","1","1","1","2","2","14","1","13","2","27","13","48","38","1","1","1","1"
"77",77,"19","72","1","1","1","5","1","1","1","1","2","3","37","1","13","1","8","19","1","28","64","1","1","1"
"78",78,"24","14","1","1","1","5","1","1","1","1","2","3","20","1","1","1","25","15","10","35","12","1","1","1"
"79",79,"4","62","1","1","1","3","1","1","1","1","4","4","26","1","1","1","18","18","7","16","33","1","1","1"
"80",80,"27","36","1","1","1","5","1","1","1","1","2","4","16","1","1","1","45","38","14","3","31","1","1","1"
