"","stations","lon","lat","address"
"1","Northington Street , Holborn, London, United Kingdom",-0.1155339,51.5220419,"northington st, holborn, london wc1n, uk"
"2","Shoreditch High Street, Shoreditch, London, United Kingdom",-0.0772475,51.5244287,"shoreditch high st, shoreditch, london, uk"
"3","Palissy Street, Shoreditch, London, United Kingdom",-0.0738137,51.5263697,"palissy st, shoreditch, london e2, uk"
"4","Queen's Gate (Central), South Kensington, London, United Kingdom",-0.1792224,51.4968486,"queen's gate, south kensington, london sw7, uk"
"5","Farringdon Street, Holborn, London, United Kingdom",-0.1049107,51.5167338,"farringdon st, holborn, london, uk"
"6","Dunston Road , Haggerston, London, United Kingdom",-0.0747971,51.5364182,"dunston rd, haggerston, london, uk"
"7","Bethnal Green Road, Shoreditch, London, United Kingdom",-0.0740436,51.5238884,"bethnal green rd, shoreditch, london, uk"
"8","Regent's Row , Haggerston , London, United Kingdom",-0.0656374,51.5357545,"regent's row, hackney, london, uk"
"9","Brushfield Street, Liverpool Street, London, United Kingdom",-0.0814374,51.5187516,"liverpool street station, liverpool st, london ec2m 7py, uk"
"10","Victoria Park Road, Hackney Central, London, United Kingdom",-0.04896,51.5373887,"victoria park rd, hackney, london, uk"
"11","British Museum, Bloomsbury, London, United Kingdom",-0.1241272,51.5190201,"british museum (stop w), holborn, london wc1a 2nj, uk"
"12","Durant Street, Bethnal Green, London, United Kingdom",-0.0661075,51.5291227,"durant st, london e2, uk"
"13","Eastbourne Mews, Paddington, London, United Kingdom",-0.1793394,51.516538,"eastbourne mews, paddington, london w2, uk"
"14","Sugden Road, Clapham, London, United Kingdom",-0.1573823,51.4634066,"sugden rd, london, uk"
"15","Craven Street, Strand, London, United Kingdom",-0.1261654,51.5081697,"strand & craven street, charing cross, london wc2n 5dp, uk"
"16","Waterloo Station 1, Waterloo, London, United Kingdom",-0.1123051,51.5031653,"waterloo station, waterloo rd, south bank, london se1 8sw, uk"
"17","Blenheim Crescent, Ladbroke Grove, London, United Kingdom",-0.2083609,51.5151406,"ladbroke grove & blenheim cres, notting hill, london w11 1nx, uk"
"18","Broadcasting House, Marylebone, London, United Kingdom",-0.1439307,51.5188884,"broadcasting house, portland pl, marylebone, london w1a 1aa, uk"
"19","Old Street Station, St. Luke's, London, United Kingdom",-0.0874936,51.525676,"old street station, old street, london ec1y 1be, uk"
"20","Westfield Library Corner, Shepherd's Bush, London, United Kingdom",-0.2242789,51.5059065,"6 wood ln, shepherd's bush, london w12 7bf, uk"
"21","Mile End Park Leisure Centre, Mile End, London, United Kingdom",-0.032457,51.5194385,"mile end park leisure centre, mile end, london e3 4hl, uk"
"22","Kennington Lane Rail Bridge, Vauxhall, London, United Kingdom",-0.1227808,51.4860794,"vauxhall, s lambeth rd, vauxhall, london sw8 1ss, uk"
"23","Waterloo Bridge, South Bank, London, United Kingdom",-0.1168561,51.5085988,"waterloo bridge, london, uk"
"24","Pancras Road, King's Cross, London, United Kingdom",-0.1257798,51.5323446,"pancras rd, kings cross, london, uk"
"25","Cheapside, Bank, London, United Kingdom",-0.096795,51.515008,"150 cheapside, london ec2v 6et, uk"
"26","Swan Street, The Borough, London, United Kingdom",-0.0943749,51.499385,"swan st, london se1, uk"
"27","Boston Place, Marylebone, London, United Kingdom",-0.1629189,51.5240234,"boston pl, marylebone, london nw1, uk"
"28","Wellington Arch, Hyde Park, London, United Kingdom",-0.1508545,51.5025925,"apsley way, london w1j 7jz, uk"
"29","Falcon Road, Clapham Junction, London, United Kingdom",-0.1708113,51.4651737,"clapham junction, clapham junction, london sw11, uk"
"30","Ashley Crescent, Battersea, London, United Kingdom",-0.1518936,51.466577,"ashley cres, battersea, london sw11, uk"
"31","Drummond Street , Euston, London, United Kingdom",-0.1369738,51.5271053,"118 drummond st, london nw1 2hn, uk"
"32","Great Percy Street, Clerkenwell, London, United Kingdom",-0.1138544,51.5293177,"great percy st, clerkenwell, london wc1x, uk"
"33","Mostyn Grove, Bow, London, United Kingdom",-0.0255836,51.5306922,"mostyn grove, bow, london e3, uk"
"34","Waterloo Station 3, Waterloo, London, United Kingdom",-0.1123051,51.5031653,"waterloo station, waterloo rd, south bank, london se1 8sw, uk"
"35","Cleaver Street, Kennington, London, United Kingdom",-0.1103246,51.4882828,"cleaver st, prince's, london se11, uk"
"36","Golden Lane, Barbican, London, United Kingdom",-0.0944587,51.521991,"golden ln, barbican, london, uk"
"37","Queen Victoria Street, St. Paul's, London, United Kingdom",-0.0983506,51.5138453,"st. paul's churchyard, london ec4m 8ad, uk"
"38","Queen Street 1, Bank, London, United Kingdom",-0.0926655,51.5123204,"queen st, london, uk"
"39","Derry Street, Kensington, London, United Kingdom",-0.1912508,51.5011812,"derry st, kensington, london w8, uk"
"40","Halford Road, West Kensington, London, United Kingdom",-0.198382,51.4836688,"halford rd, fulham, london sw6, uk"
"41","Cranmer Road, Stockwell, London, United Kingdom",-0.1102848,51.4795244,"cranmer rd, vassal, london sw9, uk"
"42","Albert Gate, Hyde Park, London, United Kingdom",-0.1657303,51.5072682,"hyde park, london, uk"
"43","Holborn Circus, Holborn, London, United Kingdom",-0.1075894,51.5177959,"holborn circus, holborn, london, uk"
"44","Queen's Gate (North), Kensington, London, United Kingdom",-0.1803987,51.4969617,"queen's gate pl, south kensington, london sw7, uk"
"45","North Audley Street, Mayfair, London, United Kingdom",-0.153335,51.5128777,"n audley st, mayfair, london, uk"
"46","Flamborough Street, Limehouse, London, United Kingdom",-0.0389979,51.5136761,"flamborough st, limehouse, london, uk"
"47","Wandsworth Rd, Isley Court, Wandsworth Road, London, United Kingdom",-0.1324144,51.4744356,"wandsworth rd, london, uk"
"48","Teversham Lane, Stockwell, London, United Kingdom",-0.1236329,51.4760383,"teversham ln, stockwell, london, uk"
"49","Caldwell Street, Stockwell, London, United Kingdom",-0.1148313,51.4769671,"caldwell st, vassal, london, uk"
"50","Clerkenwell Green, Clerkenwell, London, United Kingdom",-0.1055369,51.5226698,"clerkenwell green, clerkenwell, london, uk"
"51","Porchester Place, Paddington, London, United Kingdom",-0.1655528,51.5150956,"porchester pl, st george's fields, london w2, uk"
"52","Kennington Cross, Kennington, London, United Kingdom",-0.1119362,51.4879753,"kennington, london se11 5dp, uk"
"53","Southwark Street, Bankside, London, United Kingdom",-0.0976442,51.5060041,"18 great guildford st, london se1 0fd, uk"
"54","Bethnal Green Garden, Bethnal Green, London, United Kingdom",-0.0546802,51.5261442,"bethnal green garden, 10 witan st, bethnal green, london e2 6fg, uk"
