"","x"
"0213 Pender & Gore",630.897330658233
"0193 Science World",454.707883653705
"0246 Glen & Broadway",439.954650158352
"0074 10th & Main",429.186110141483
"0248 St George & Broadway",415.391921101256
"0161 Alexander & Dunlevy",388.46632762766
"0244 10th & Commercial",375.932321115613
"0172 10th & Columbia",374.005560222365
"0198 6th & Main",371.683679699987
"0236 Keith & 6th",360.369135418061
"0206 8th & Scotia",355.697126019919
"0245 Woodland & 10th",348.976942760672
"0221 Glen & Union",345.878610478712
"0134 14th & Main",332.992765631699
"0021 Cordova & Granville",329.748474358047
"0240 2nd & Commercial",329.628446032254
"0007 12th & Yukon",328.489608702114
"0242 8th & Commercial",327.724094395332
"0176 10th & Ontario",326.896864495502
"0119 3rd & Quebec",325.944305549957
"0068 Cypress & Broadway",325.421848189834
"0211 14th & Alder",324.764557597786
"0229 Keefer & Princess",323.540564890953
"0212 Union & Gore",320.743986248204
"0253 Charles & Woodland",319.711277170291
"0222 Adanac & McLean",319.309215903973
"0205 Pine & 10th",316.367342887351
"0072 14th & Cambie",315.381251750844
"0167 Cordova & Columbia",313.10617569719
"0132 14th & Ontario",310.754921003968
"0255 18th & Main",308.654953908495
"0260 10th & Fraser",305.769138831211
"0235 Charles & Commercial",301.728394933549
"0133 Ontario & 16th",301.31826083282
"0223 Commercial & Adanac",300.591630299252
"0601 Olympic Village Station",296.961963164766
"0231 Napier & Commercial",295.134542547184
"0234 Station & National",292.597395544725
"0265 St Catherines & 10th",281.571632313962
"0199 Georgia & Main",278.12901363343
"0241 4th & Commercial",273.284791871218
"0283 15th & Knight",271.263416125351
"0239 Grant & Commercial",270.348972212555
"0227 Campbell & Hastings",267.078134096569
"0166 Alder & 11th",266.201262165424
"0165 Columbia & 4th",266.145025052568
"0070 10th & Granville",264.717856692041
"0130 Heather & 16th",260.777196666745
"0238 Thornton & 1st",259.485716810136
"0106 Heather & 14th",259.407217449137
"0254 Grandview Bike Lane & Commercial",258.414114544619
"0110 5th & Arbutus",256.694223419203
"0077 Vanier Park",255.85139636107
"0250 Woodland & 4th",252.219174236592
"0114 Cypress & 14th",249.579261831731
"0069 7th & Granville",249.41926187949
"0190 Melville & Bute",247.726865545168
"0262 8th & Prince Edward",238.028919150376
"0261 8th & Fraser",223.093306520491
"0159 Vine & 4th",222.413908627527
"0071 14th & Granville",221.826436134615
"0054 Expo & Carrall",220.253176088991
"0113 Arbutus & 16th",219.48312352638
"0153 Arbutus Greenway & Fir",216.774649708839
"0173 Columbia & 2nd",216.718894873063
"0171 5th & Yukon",201.956929495889
"0006 Olympic Village Station",200.737614122192
"0044 Pacific & Richards",199.171132606931
"0080 Laurel & Broadway",192.061548941575
"0173 1st & Columbia",190.032629582904
"0230 Alexander & Railway",189.952246657773
"0087 Broughton & Burnaby",185.863177491485
"0237 Glen & 6th",185.412250669702
"0207 Alberni & Jervis",184.00609819292
"0063 Robson & Granville",183.355464692967
"0152 Arbutus Greenway & 14th",183.043560496447
"0155 Arbutus & McNicoll",182.306968672495
"0008 8th & Ash",176.573956908021
"0025 Homer & Robson",169.009522357307
"0108 1st & Chestnut",164.307124466221
"0208 Arbutus Greenway & Broadway",161.546738765639
"0109 7th & Arbutus",160.219150308106
"0027 Beatty & Nelson",157.373933997095
"0058 Homer & Smithe",157.219699453286
"0040 Cardero & Davie",155.229194282779
"0201 Shaw Tower",153.904658314361
"0203 Pine & 14th",153.481956413967
"0274 Victoria & 10th",152.806421555219
"0035 Coal Harbour Community Centre",151.586518470838
"0048 Comox & Broughton",151.57179276102
"0138 Richards & Helmcken",150.673415195073
"0073 Ontario & 5th",149.931718592564
"0030 Abbott & Cordova",147.532493599946
"0096 Nicola & Robson",147.505404429493
"0098 Carrall & Hastings",144.304477913892
"0140 Burrard & 7th",144.053224773361
"0039 Helmcken & Burrard",140.41808024462
"0125 Hamilton & Robson",140.381309258567
"0047 Chilco & Beach",139.446912367394
"0136 David Lam Park - West",138.938994402471
"0031 Morton & Denman",138.23594937964
"0197 1st & Main",138.064245472683
"0232 Britannia Parking Lot",137.409766137391
"0115 Cypress & 16th",136.885391317902
"0009 Spyglass & Seawall",136.87142062437
"0266 St Catherines & 7th",136.797313898635
"0010 Stamp's Landing",135.95435437443
"0112 10th & Oak",132.764988564111
"0026 Beatty & Robson",132.696074993765
"0148 Creekside Park North",132.589251847664
"0139 Burrard & 4th",132.322094798942
"0107 8th & Ontario",132.055220299032
"0150 Alexander & Main",130.295444393636
"0084 Sunset Beach West",130.069238680165
"0224 Pender & Commercial",129.828521918985
"0209 Stanley Park - Information Booth",128.455190254285
"0050 Bute & Comox",126.809197636136
"0015 Granville & Georgia",126.290186094985
"0602 Olympic Village Station - Parking Lot",125.737588776844
"0123 Georgia & Thurlow",124.312657234063
"0041 Cardero & Robson",122.559596364409
"0218 Carrall & Seawall",120.6692784879
"0055 Keefer & Columbia",119.525752488031
"0143 South False Creek Seawall",117.393376324421
"0102 Stanley Park - Second Beach North",116.842514631966
"0076 Cypress & 4th",114.915996786784
"0137 Beach & Seymour",113.688415724857
"0196 Drake & Hornby",113.076688870289
"0099 Vancouver Art Gallery - North Plaza",111.754063927724
"0082 Richards & Davie",111.104175654541
"0204 York & Yew",108.780928877134
"0126 Thurlow & Pendrell",108.295285448309
"0092 Chilco & Barclay",107.480951737486
"0147 Chestnut & McNicoll",107.40315254656
"0036 Bute & Robson",105.270281289554
"0187 Bute & Davie",105.240705445903
"0129 Richards & Robson",103.317567978444
"0019 Robson & Hornby",102.942549813231
"0272 Pender & Victoria",101.830571521678
"0081 7th & Heather",101.461573714469
"0287 Carolina & Great Northern Way",99.6397965520438
"0202 14th & Oak",98.4647969077233
"0079 Nelson & Richards",97.3478215860842
"0088 Harwood & Bute",96.7393167111275
"0225 McLean & Pender",95.6801199196223
"0012 Dunsmuir & Richards",95.2613212003472
"0093 Chilco & Robson",93.4802540850792
"0089 Burrard & Drake",92.234692183674
"0001 10th & Cambie",92.2236431239872
"0057 Marinaside & Cooperage",91.4393391254212
"0005 Dunsmuir & Beatty",91.0809738068249
"0280 Triumph & Victoria",89.4566513946502
"0065 Cypress & Cornwall",89.294197904242
"0002 Burrard Station",88.9420410854488
"0033 Robson & Denman",88.1792849869775
"0032 Comox & Denman",87.1561948187945
"0104 Stanley Park - Second Beach South",85.0442350461423
"0014 Canada Place",79.517359528029
"0064 Expo & Smithe",78.9653161209331
"0044 Richards & Beach",78.9377432382556
"0037 Hornby & Nelson",76.2826762804705
"0060 Bidwell & Burnaby",71.804443127738
"0052 Cambie & Water",71.4157583397933
"0016 Pender & Burrard",68.960739369829
"0258 13th & St George",65.9230616943304
"0034 Cordova & Bute",64.7863971598168
"0252 Woodland & Graveley",63.3035038488264
"0004 Yaletown-Roundhouse Station",62.201258698359
"0017 Marinaside & Davie",60.0095666773972
"0011 Ontario & Seawall",59.3678002859739
"0028 Davie & Beach",54.3321711183596
"0053 Keefer & Abbott",53.7970504651951
"0154 Kitsilano Beach Park",53.4576375839663
"0174 1st & Ontario",52.0214041305653
"0078 Nelson & Mainland",49.9991489106591
"0101 Stanley Park - Vancouver Aquarium",49.6983494134085
"0257 Prince Edward & 14th",45.5980200034966
"0256 Prince Edward & 16th",44.3179354706125
"0105 Stanley Park - Totem Poles",40.4051950503369
"0083 Aquatic Centre",34.7110125805046
"0024 Hornby & Pender",34.4854875401109
"0273 Victoria & 4th",29.4636260271736
"0297 6th & Prince Edward",27.8118311539475
"0298 6th & Carolina",18.6144320790315
"0066 Anderson & 2nd",16.3436899369933
"0285 Commercial & Pandora",9.90905087415861
"0278 15th & Victoria",8.9451172765833
"0233 Thornton & National",2.98762165676725
"0249 7th & Woodland",2.14845603012662
