"","x"
"0213 Pender & Gore",0.00263852242744063
"0241 4th & Commercial",0.00260416666666667
"0166 Alder & 11th",0.0025974025974026
"0248 St George & Broadway",0.0025974025974026
"0245 Woodland & 10th",0.00259067357512953
"0239 Grant & Commercial",0.00257731958762887
"0223 Commercial & Adanac",0.00256410256410256
"0054 Expo & Carrall",0.00255754475703325
"0198 6th & Main",0.00255754475703325
"0190 Melville & Bute",0.00255754475703325
"0161 Alexander & Dunlevy",0.00255754475703325
"0068 Cypress & Broadway",0.00255102040816327
"0165 Columbia & 4th",0.00255102040816327
"0132 14th & Ontario",0.00254452926208651
"0229 Keefer & Princess",0.00254452926208651
"0072 14th & Cambie",0.00253807106598985
"0173 Columbia & 2nd",0.00253807106598985
"0231 Napier & Commercial",0.00253807106598985
"0074 10th & Main",0.00253164556962025
"0108 1st & Chestnut",0.00253164556962025
"0130 Heather & 16th",0.00253164556962025
"0007 12th & Yukon",0.00252525252525253
"0171 5th & Yukon",0.00252525252525253
"0172 10th & Columbia",0.00252525252525253
"0212 Union & Gore",0.00252525252525253
"0260 10th & Fraser",0.00252525252525253
"0173 1st & Columbia",0.00251889168765743
"0206 8th & Scotia",0.00251889168765743
"0238 Thornton & 1st",0.00251889168765743
"0602 Olympic Village Station - Parking Lot",0.00251889168765743
"0133 Ontario & 16th",0.00251256281407035
"0266 St Catherines & 7th",0.00251256281407035
"0070 10th & Granville",0.0025062656641604
"0155 Arbutus & McNicoll",0.0025062656641604
"0244 10th & Commercial",0.0025062656641604
"0246 Glen & Broadway",0.0025062656641604
"0073 Ontario & 5th",0.0025
"0254 Grandview Bike Lane & Commercial",0.0025
"0199 Georgia & Main",0.00249376558603491
"0058 Homer & Smithe",0.00248756218905473
"0167 Cordova & Columbia",0.00248756218905473
"0240 2nd & Commercial",0.00248756218905473
"0601 Olympic Village Station",0.00248756218905473
"0021 Cordova & Granville",0.00248756218905473
"0147 Chestnut & McNicoll",0.00248756218905473
"0044 Pacific & Richards",0.00248138957816377
"0134 14th & Main",0.00248138957816377
"0255 18th & Main",0.00248138957816377
"0237 Glen & 6th",0.00248138957816377
"0283 15th & Knight",0.00248138957816377
"0176 10th & Ontario",0.00247524752475248
"0265 St Catherines & 10th",0.00247524752475248
"0002 Burrard Station",0.00247524752475248
"0033 Robson & Denman",0.00247524752475248
"0028 Davie & Beach",0.00246913580246914
"0082 Richards & Davie",0.00246913580246914
"0106 Heather & 14th",0.00246913580246914
"0138 Richards & Helmcken",0.00246913580246914
"0153 Arbutus Greenway & Fir",0.00246913580246914
"0205 Pine & 10th",0.00246913580246914
"0253 Charles & Woodland",0.00246913580246914
"0193 Science World",0.00246913580246914
"0222 Adanac & McLean",0.00246913580246914
"0112 10th & Oak",0.00246305418719212
"0119 3rd & Quebec",0.00246305418719212
"0125 Hamilton & Robson",0.00246305418719212
"0262 8th & Prince Edward",0.00246305418719212
"0236 Keith & 6th",0.00245700245700246
"0096 Nicola & Robson",0.00245700245700246
"0230 Alexander & Railway",0.00245700245700246
"0025 Homer & Robson",0.00245098039215686
"0137 Beach & Seymour",0.00245098039215686
"0235 Charles & Commercial",0.00245098039215686
"0242 8th & Commercial",0.00245098039215686
"0006 Olympic Village Station",0.00244498777506112
"0015 Granville & Georgia",0.00244498777506112
"0057 Marinaside & Cooperage",0.00244498777506112
"0071 14th & Granville",0.00244498777506112
"0110 5th & Arbutus",0.00244498777506112
"0139 Burrard & 4th",0.00244498777506112
"0234 Station & National",0.00244498777506112
"0009 Spyglass & Seawall",0.0024390243902439
"0019 Robson & Hornby",0.0024390243902439
"0024 Hornby & Pender",0.0024390243902439
"0031 Morton & Denman",0.0024390243902439
"0035 Coal Harbour Community Centre",0.0024390243902439
"0047 Chilco & Beach",0.0024390243902439
"0065 Cypress & Cornwall",0.0024390243902439
"0211 14th & Alder",0.0024390243902439
"0017 Marinaside & Davie",0.0024330900243309
"0063 Robson & Granville",0.0024330900243309
"0107 8th & Ontario",0.0024330900243309
"0036 Bute & Robson",0.00242718446601942
"0084 Sunset Beach West",0.00242718446601942
"0087 Broughton & Burnaby",0.00242718446601942
"0114 Cypress & 14th",0.00242718446601942
"0026 Beatty & Robson",0.00242130750605327
