"","origin","destination","weight"
"1","0001 10th & Cambie","0001 10th & Cambie",57
"3","0004 Yaletown-Roundhouse Station","0001 10th & Cambie",3
"4","0005 Dunsmuir & Beatty","0001 10th & Cambie",5
"5","0007 12th & Yukon","0001 10th & Cambie",5
"9","0011 Ontario & Seawall","0001 10th & Cambie",1
"10","0012 Dunsmuir & Richards","0001 10th & Cambie",36
"12","0015 Granville & Georgia","0001 10th & Cambie",4
"13","0016 Pender & Burrard","0001 10th & Cambie",14
"14","0017 Marinaside & Davie","0001 10th & Cambie",2
"16","0024 Hornby & Pender","0001 10th & Cambie",2
"17","0025 Homer & Robson","0001 10th & Cambie",2
"18","0026 Beatty & Robson","0001 10th & Cambie",1
"19","0027 Beatty & Nelson","0001 10th & Cambie",2
"21","0030 Abbott & Cordova","0001 10th & Cambie",1
"22","0031 Morton & Denman","0001 10th & Cambie",1
"26","0036 Bute & Robson","0001 10th & Cambie",3
"27","0037 Hornby & Nelson","0001 10th & Cambie",1
"28","0039 Helmcken & Burrard","0001 10th & Cambie",2
"29","0040 Cardero & Davie","0001 10th & Cambie",1
"31","0044 Richards & Beach","0001 10th & Cambie",1
"34","0050 Bute & Comox","0001 10th & Cambie",2
"36","0053 Keefer & Abbott","0001 10th & Cambie",2
"38","0055 Keefer & Columbia","0001 10th & Cambie",3
"39","0057 Marinaside & Cooperage","0001 10th & Cambie",3
"41","0060 Bidwell & Burnaby","0001 10th & Cambie",31
"42","0063 Robson & Granville","0001 10th & Cambie",5
"43","0064 Expo & Smithe","0001 10th & Cambie",5
"44","0065 Cypress & Cornwall","0001 10th & Cambie",1
"45","0066 Anderson & 2nd","0001 10th & Cambie",6
"46","0068 Cypress & Broadway","0001 10th & Cambie",12
"47","0069 7th & Granville","0001 10th & Cambie",30
"48","0070 10th & Granville","0001 10th & Cambie",17
"49","0071 14th & Granville","0001 10th & Cambie",7
"50","0072 14th & Cambie","0001 10th & Cambie",1
"51","0073 Ontario & 5th","0001 10th & Cambie",2
"52","0076 Cypress & 4th","0001 10th & Cambie",3
"53","0077 Vanier Park","0001 10th & Cambie",1
"54","0078 Nelson & Mainland","0001 10th & Cambie",2
"55","0079 Nelson & Richards","0001 10th & Cambie",5
"56","0080 Laurel & Broadway","0001 10th & Cambie",7
"58","0082 Richards & Davie","0001 10th & Cambie",1
"60","0084 Sunset Beach West","0001 10th & Cambie",2
"63","0089 Burrard & Drake","0001 10th & Cambie",4
"64","0092 Chilco & Barclay","0001 10th & Cambie",2
"72","0106 Heather & 14th","0001 10th & Cambie",104
"73","0107 8th & Ontario","0001 10th & Cambie",7
"75","0108 Cypress & 1st","0001 10th & Cambie",3
"76","0109 7th & Arbutus","0001 10th & Cambie",2
"77","0110 5th & Arbutus","0001 10th & Cambie",3
"78","0112 10th & Oak","0001 10th & Cambie",78
"79","0113 Arbutus & 16th","0001 10th & Cambie",1
"80","0114 Cypress & 14th","0001 10th & Cambie",1
"81","0115 Cypress & 16th","0001 10th & Cambie",6
"82","0119 3rd & Quebec","0001 10th & Cambie",1
"84","0125 Hamilton & Robson","0001 10th & Cambie",5
"85","0129 Richards & Robson","0001 10th & Cambie",1
"86","0130 Heather & 16th","0001 10th & Cambie",35
"87","0132 14th & Ontario","0001 10th & Cambie",127
"88","0133 Ontario & 16th","0001 10th & Cambie",61
"89","0134 14th & Main","0001 10th & Cambie",46
"91","0137 Beach & Seymour","0001 10th & Cambie",1
"94","0140 Burrard & 7th","0001 10th & Cambie",4
"96","0147 Chestnut & McNicoll","0001 10th & Cambie",1
"97","0148 Quebec & Milross","0001 10th & Cambie",17
"98","0150 Alexander & Main","0001 10th & Cambie",1
"99","0152 Arbutus Greenway & 14th","0001 10th & Cambie",1
"100","0153 Arbutus Greenway & Fir","0001 10th & Cambie",1
"101","0154 Kitsilano Beach Park","0001 10th & Cambie",1
"102","0155 Arbutus & McNicoll","0001 10th & Cambie",1
"103","0159 Vine & 4th","0001 10th & Cambie",2
"105","0166 Alder & 11th","0001 10th & Cambie",10
"106","0167 Cordova & Columbia","0001 10th & Cambie",1
"108","0172 10th & Columbia","0001 10th & Cambie",20
"109","0173 Columbia & 2nd","0001 10th & Cambie",7
"110","0174 1st & Ontario","0001 10th & Cambie",10
"111","0176 10th & Ontario","0001 10th & Cambie",174
"112","0187 Bute & Davie","0001 10th & Cambie",2
"114","0197 1st & Main","0001 10th & Cambie",1
"115","0198 6th & Main","0001 10th & Cambie",26
"117","0203 Pine & 14th","0001 10th & Cambie",1
"118","0204 York & Yew","0001 10th & Cambie",2
"119","0205 Pine & 10th","0001 10th & Cambie",7
"120","0206 8th & Scotia","0001 10th & Cambie",18
"121","0208 Arbutus Greenway & Broadway","0001 10th & Cambie",50
"123","0211 14th & Alder","0001 10th & Cambie",12
"124","0212 Union & Gore","0001 10th & Cambie",1
"125","0218 Carrall & Seawall","0001 10th & Cambie",2
"133","0239 Grant & Commercial","0001 10th & Cambie",3
"136","0242 8th & Commercial","0001 10th & Cambie",1
"137","0244 10th & Commercial","0001 10th & Cambie",5
"138","0245 Woodland & 10th","0001 10th & Cambie",1
"139","0246 Glen & Broadway","0001 10th & Cambie",1
"140","0248 St George & Broadway","0001 10th & Cambie",8
"142","0260 10th & Fraser","0001 10th & Cambie",10
"147","0996 Balancer Bike Check In","0001 10th & Cambie",1
"150","0001 10th & Cambie","0002 Burrard Station",2
"151","0002 Burrard Station","0002 Burrard Station",46
"153","0005 Dunsmuir & Beatty","0002 Burrard Station",49
"154","0007 12th & Yukon","0002 Burrard Station",4
"155","0008 8th & Ash","0002 Burrard Station",2
"159","0012 Dunsmuir & Richards","0002 Burrard Station",29
"160","0014 Canada Place","0002 Burrard Station",2
"161","0015 Granville & Georgia","0002 Burrard Station",8
"162","0016 Pender & Burrard","0002 Burrard Station",1
"164","0019 Robson & Hornby","0002 Burrard Station",4
"165","0024 Hornby & Pender","0002 Burrard Station",2
"166","0025 Homer & Robson","0002 Burrard Station",50
"167","0026 Beatty & Robson","0002 Burrard Station",11
"168","0027 Beatty & Nelson","0002 Burrard Station",1
"169","0028 Davie & Beach","0002 Burrard Station",9
"170","0030 Abbott & Cordova","0002 Burrard Station",2
"172","0032 Comox & Denman","0002 Burrard Station",6
"173","0033 Robson & Denman","0002 Burrard Station",12
"174","0035 Coal Harbour Community Centre","0002 Burrard Station",8
"175","0036 Bute & Robson","0002 Burrard Station",40
"176","0037 Hornby & Nelson","0002 Burrard Station",18
"177","0039 Helmcken & Burrard","0002 Burrard Station",14
"178","0040 Cardero & Davie","0002 Burrard Station",1
"179","0041 Cardero & Robson","0002 Burrard Station",21
"180","0044 Richards & Beach","0002 Burrard Station",3
"181","0047 Chilco & Beach","0002 Burrard Station",2
"182","0048 Comox & Broughton","0002 Burrard Station",6
"183","0050 Bute & Comox","0002 Burrard Station",50
"184","0052 Cambie & Water","0002 Burrard Station",4
"185","0053 Keefer & Abbott","0002 Burrard Station",2
"187","0055 Keefer & Columbia","0002 Burrard Station",2
"188","0057 Marinaside & Cooperage","0002 Burrard Station",17
