"","stations","lon","lat","address"
"1","0076 Cypress & 4th, Vancouver, British Columbia",-123.1478849,49.2682689,"vancouver, bc v6j 1m4, canada"
"2","0036 Bute & Robson, Vancouver, British Columbia",-123.1272503,49.2858347,"827-837 bute st, vancouver, bc v6e 3y4, canada"
"3","0019 Robson & Hornby, Vancouver, British Columbia",-123.122092,49.282758,"vancouver, bc v6z 2e7, canada"
"4","0002 Burrard Station, Vancouver, British Columbia",-123.1210501,49.285871,"vancouver, bc v6c 0a4, canada"
"5","0014 Canada Place, Vancouver, British Columbia",-123.11287,49.287214,"vancouver, bc v6c 3r9, canada"
"6","0080 Laurel & Broadway, Vancouver, British Columbia",-123.1241869,49.2632339,"2539 laurel st, vancouver, bc v5z 1l7, canada"
"7","0005 Dunsmuir & Beatty, Vancouver, British Columbia",-123.1102997,49.2797457,"dunsmuir sreet, vancouver, bc v6b, canada"
"8","0088 Harwood & Bute, Vancouver, British Columbia",-123.1352527,49.2802625,"1170-1100 harwood st, vancouver, bc v6e 1s1, canada"
"9","0115 Cypress & 16th, Vancouver, British Columbia",-123.148531,49.25741,"vancouver, bc v6j 2m5, canada"
"10","0057 Marinaside & Cooperage, Vancouver, British Columbia",-123.1143731,49.273833,"vancouver, bc v6z 0a4, canada"
"11","0196 Drake & Hornby, Vancouver, British Columbia",-123.1296251,49.277213,"vancouver, bc v6z 2p2, canada"
"12","0048 Comox & Broughton, Vancouver, British Columbia",-124.9282659,49.6735133,"comox, bc, canada"
"13","0033 Robson & Denman, Vancouver, British Columbia",-123.135327,49.2913758,"1806-1702 robson st, vancouver, bc v6g 2l8, canada"
"14","0138 Richards & Helmcken, Vancouver, British Columbia",-123.122589,49.277141,"vancouver, bc v6b 5h7, canada"
"15","0159 Vine & 4th, Vancouver, British Columbia",-123.157443,49.268339,"vancouver, bc v6k 1n9, canada"
"16","0246 Glen & Broadway, Vancouver, British Columbia",-123.081459,49.262242,"vancouver, bc v5t 2b4, canada"
"17","0110 5th & Arbutus, Vancouver, British Columbia",-123.1531126,49.2672652,"2192-2110 w 5th ave, vancouver, bc v6k 1s2, canada"
"18","0212 Union & Gore, Vancouver, British Columbia",-123.1000411,49.2785757,"219 union st, vancouver, bc v6a 4c3, canada"
"19","0055 Keefer & Columbia, Vancouver, British Columbia",-123.101822,49.279342,"vancouver, bc v6a 1x4, canada"
"20","0079 Nelson & Richards, Vancouver, British Columbia",-123.1209419,49.277844,"vancouver, bc v6b 3e1, canada"
"21","0058 Homer & Smithe, Vancouver, British Columbia",-123.118612,49.278283,"vancouver, bc v6b 1t7, canada"
"22","0060 Bidwell & Burnaby, Vancouver, British Columbia",-123.1418089,49.28526,"vancouver, bc v6g, canada"
"23","0078 Nelson & Mainland, Vancouver, British Columbia",-123.11877,49.2764359,"vancouver, bc v6b 6j8, canada"
"24","0001 10th & Cambie, Vancouver, British Columbia",-123.114397,49.262487,"vancouver, bc v5z 2v2, canada"
"25","0082 Richards & Davie, Vancouver, British Columbia",-123.1238889,49.276153,"vancouver, bc v6b 5b6, canada"
"26","0039 Helmcken & Burrard, Vancouver, British Columbia",-123.1274537,49.2799366,"downtown vancouver, bc v6z 1y7, canada"
"27","0083 Aquatic Centre, Vancouver, British Columbia",-123.1354222,49.2768417,"1050 beach ave, vancouver, bc v6e 1t7, canada"
"28","0198 6th & Main, Vancouver, British Columbia",-123.1002874,49.2655138,"206-224 e 6th ave, vancouver, bc v5t 1j7, canada"
"29","0087 Broughton & Burnaby, Vancouver, British Columbia",-123.137034,49.28329,"vancouver, bc v6g 2b4, canada"
"30","0068 Cypress & Broadway, Vancouver, British Columbia",-123.148097,49.263507,"vancouver, bc v6j 3n2, canada"
"31","0205 Pine & 10th, Vancouver, British Columbia",-123.14338,49.262822,"vancouver, bc v6j 2a2, canada"
"32","0134 14th & Main, Vancouver, British Columbia",-123.100792,49.258425,"vancouver, bc v5t 3g3, canada"
"33","0010 Stamp's Landing, Vancouver, British Columbia",-123.118186,49.268613,"vancouver, bc v5z 3z1, canada"
"34","0140 Burrard & 7th, Vancouver, British Columbia",-123.1410188,49.274182,"140 burrard st, vancouver, bc v6j, canada"
"35","0089 Burrard & Drake, Vancouver, British Columbia",-123.1305464,49.2780882,"downtown vancouver, bc v6z 1z4, canada"
"36","0136 David Lam Park - West, Vancouver, British Columbia",-123.126006,49.270905,"vancouver, bc v6z 0a6, canada"
"37","0265 St Catherines & 10th, Vancouver, British Columbia",-123.085333,49.261353,"vancouver, bc v5t 2b1, canada"
