"","id","fast_greedy","walks","infomap","louvain"
"1","0001 10th & Cambie",3,4,1,2
"2","0004 Yaletown-Roundhouse Station",2,6,1,1
"3","0005 Dunsmuir & Beatty",1,6,1,3
"4","0007 12th & Yukon",3,1,1,2
"5","0010 Stamp's Landing",2,1,1,1
"6","0011 Ontario & Seawall",2,1,1,1
"7","0012 Dunsmuir & Richards",1,6,1,3
"8","0015 Granville & Georgia",1,6,1,4
"9","0016 Pender & Burrard",1,6,1,4
"10","0017 Marinaside & Davie",2,1,1,1
"11","0024 Hornby & Pender",1,6,1,4
"12","0025 Homer & Robson",1,6,1,4
"13","0026 Beatty & Robson",1,6,1,3
"14","0027 Beatty & Nelson",1,6,1,3
"15","0030 Abbott & Cordova",2,6,1,1
"16","0031 Morton & Denman",4,3,1,5
"17","0036 Bute & Robson",1,6,1,4
"18","0037 Hornby & Nelson",1,6,1,4
"19","0039 Helmcken & Burrard",1,6,1,4
"20","0040 Cardero & Davie",1,3,1,4
"21","0044 Richards & Beach",1,6,1,3
"22","0047 Chilco & Beach",4,3,1,5
"23","0050 Bute & Comox",1,6,1,4
"24","0053 Keefer & Abbott",2,1,1,1
"25","0055 Keefer & Columbia",2,1,1,1
"26","0057 Marinaside & Cooperage",2,1,1,1
"27","0060 Bidwell & Burnaby",4,3,1,4
"28","0063 Robson & Granville",1,6,1,4
"29","0064 Expo & Smithe",1,6,1,4
"30","0066 Anderson & 2nd",2,1,1,1
"31","0068 Cypress & Broadway",3,4,1,2
"32","0069 7th & Granville",3,1,1,2
"33","0070 10th & Granville",3,4,1,2
"34","0071 14th & Granville",3,1,1,2
"35","0072 14th & Cambie",3,4,1,2
"36","0073 Ontario & 5th",2,1,1,1
"37","0076 Cypress & 4th",3,1,1,2
"38","0077 Vanier Park",2,1,1,1
"39","0078 Nelson & Mainland",1,6,1,3
"40","0079 Nelson & Richards",1,6,1,3
"41","0080 Laurel & Broadway",3,1,1,2
"42","0082 Richards & Davie",1,6,1,3
"43","0083 Aquatic Centre",4,3,1,5
"44","0084 Sunset Beach West",4,3,1,5
"45","0089 Burrard & Drake",1,6,1,4
"46","0092 Chilco & Barclay",4,3,1,5
"47","0106 Heather & 14th",3,4,1,2
"48","0107 8th & Ontario",2,1,1,1
"49","0108 Cypress & 1st",3,1,1,2
"50","0109 7th & Arbutus",3,1,1,2
"51","0110 5th & Arbutus",3,1,1,2
"52","0112 10th & Oak",3,4,1,2
"53","0113 Arbutus & 16th",3,1,1,2
"54","0114 Cypress & 14th",3,4,1,2
"55","0115 Cypress & 16th",3,1,1,2
"56","0119 3rd & Quebec",3,1,1,2
"57","0125 Hamilton & Robson",1,6,1,4
"58","0129 Richards & Robson",1,6,1,3
"59","0130 Heather & 16th",3,4,1,2
"60","0132 14th & Ontario",3,4,1,2
"61","0133 Ontario & 16th",3,4,1,2
"62","0134 14th & Main",3,1,1,2
"63","0137 Beach & Seymour",2,6,1,3
"64","0140 Burrard & 7th",3,1,1,2
"65","0147 Chestnut & McNicoll",2,1,1,1
"66","0148 Quebec & Milross",2,1,1,1
"67","0150 Alexander & Main",2,1,1,1
"68","0152 Arbutus Greenway & 14th",3,4,1,2
"69","0153 Arbutus Greenway & Fir",3,1,1,2
"70","0154 Kitsilano Beach Park",2,1,1,1
"71","0155 Arbutus & McNicoll",2,1,1,1
"72","0159 Vine & 4th",3,1,1,2
"73","0166 Alder & 11th",3,1,1,2
"74","0167 Cordova & Columbia",2,1,1,1
"75","0172 10th & Columbia",3,4,1,2
"76","0173 Columbia & 2nd",2,1,1,1
"77","0174 1st & Ontario",2,1,1,1
"78","0176 10th & Ontario",3,4,1,2
"79","0187 Bute & Davie",1,6,1,4
"80","0197 1st & Main",2,1,1,1
"81","0198 6th & Main",2,1,1,2
"82","0203 Pine & 14th",3,4,1,2
"83","0204 York & Yew",2,1,1,4
"84","0205 Pine & 10th",3,1,1,2
"85","0206 8th & Scotia",2,1,1,3
"86","0208 Arbutus Greenway & Broadway",3,1,1,2
"87","0211 14th & Alder",3,4,1,2
"88","0212 Union & Gore",2,1,1,1
"89","0218 Carrall & Seawall",2,1,1,1
"90","0239 Grant & Commercial",3,5,1,2
"91","0242 8th & Commercial",3,5,1,2
"92","0244 10th & Commercial",3,4,1,2
"93","0245 Woodland & 10th",3,2,1,2
"94","0246 Glen & Broadway",3,4,1,2
"95","0248 St George & Broadway",3,4,1,2
"96","0260 10th & Fraser",3,4,1,2
"97","0002 Burrard Station",1,6,1,4
