"","id","fast_greedy","walks","infomap","louvain"
"1","0004 Yaletown-Roundhouse Station",2,3,1,1
"2","0012 Dunsmuir & Richards",4,3,1,3
"3","0032 Comox & Denman",4,4,1,3
"4","0037 Hornby & Nelson",4,4,1,3
"5","0057 Marinaside & Cooperage",2,3,1,1
"6","0063 Robson & Granville",4,4,1,3
"7","0068 Cypress & Broadway",1,1,1,2
"8","0071 14th & Granville",1,3,1,2
"9","0084 Sunset Beach West",3,2,1,4
"10","0088 Harwood & Bute",4,4,1,3
"11","0101 Stanley Park - Vancouver Aquarium",3,2,1,4
"12","0138 Richards & Helmcken",4,4,1,3
"13","0153 Arbutus Greenway & Fir",1,3,1,2
"14","0172 10th & Columbia",1,1,1,2
"15","0209 Stanley Park - Information Booth",3,2,1,4
"16","0222 Adanac & McLean",2,3,1,1
"17","0248 St George & Broadway",1,1,1,2
"18","0001 10th & Cambie",1,1,1,2
"19","0005 Dunsmuir & Beatty",4,4,1,3
"20","0006 Olympic Village Station",2,3,1,1
"21","0007 12th & Yukon",1,3,1,2
"22","0008 8th & Ash",2,3,1,1
"23","0009 Spyglass & Seawall",2,3,1,1
"24","0010 Stamp's Landing",2,3,1,1
"25","0011 Ontario & Seawall",2,3,1,1
"26","0015 Granville & Georgia",4,4,1,3
"27","0016 Pender & Burrard",4,4,1,3
"28","0017 Marinaside & Davie",2,3,1,1
"29","0019 Robson & Hornby",4,4,1,3
"30","0024 Hornby & Pender",4,4,1,3
"31","0025 Homer & Robson",4,4,1,3
"32","0026 Beatty & Robson",4,3,1,3
"33","0027 Beatty & Nelson",4,3,1,3
"34","0028 Davie & Beach",3,2,1,4
"35","0030 Abbott & Cordova",2,3,1,1
"36","0031 Morton & Denman",3,2,1,4
"37","0035 Coal Harbour Community Centre",3,2,1,4
"38","0036 Bute & Robson",4,4,1,3
"39","0039 Helmcken & Burrard",4,4,1,3
"40","0040 Cardero & Davie",4,4,1,3
"41","0044 Pacific & Richards",2,4,1,3
"42","0047 Chilco & Beach",3,2,1,4
"43","0048 Comox & Broughton",4,4,1,3
"44","0050 Bute & Comox",4,4,1,3
"45","0052 Cambie & Water",4,4,1,3
"46","0053 Keefer & Abbott",2,3,1,1
"47","0054 Expo & Carrall",2,3,1,1
"48","0055 Keefer & Columbia",2,3,1,1
"49","0058 Homer & Smithe",2,3,1,1
"50","0060 Bidwell & Burnaby",4,4,1,3
"51","0064 Expo & Smithe",2,3,1,1
"52","0065 Cypress & Cornwall",4,3,1,3
"53","0066 Anderson & 2nd",2,3,1,1
"54","0069 7th & Granville",2,3,1,1
"55","0070 10th & Granville",1,1,1,2
"56","0072 14th & Cambie",1,1,1,2
"57","0073 Ontario & 5th",2,3,1,1
"58","0074 10th & Main",1,1,1,2
"59","0076 Cypress & 4th",1,3,1,2
"60","0078 Nelson & Mainland",2,3,1,1
"61","0079 Nelson & Richards",4,4,1,3
"62","0080 Laurel & Broadway",1,3,1,2
"63","0081 7th & Heather",2,3,1,1
"64","0082 Richards & Davie",4,4,1,3
"65","0083 Aquatic Centre",3,2,1,4
"66","0087 Broughton & Burnaby",4,4,1,3
"67","0089 Burrard & Drake",4,3,1,3
"68","0092 Chilco & Barclay",4,2,1,3
"69","0093 Chilco & Robson",3,2,1,4
"70","0098 Carrall & Hastings",2,3,1,1
"71","0099 Vancouver Art Gallery - North Plaza",4,4,1,3
"72","0102 Stanley Park - Second Beach North",3,2,1,4
"73","0104 Stanley Park - Second Beach South",3,2,1,4
"74","0106 Heather & 14th",1,1,1,2
"75","0107 8th & Ontario",2,3,1,1
"76","0108 1st & Chestnut",2,3,1,1
"77","0109 7th & Arbutus",1,3,1,2
"78","0110 5th & Arbutus",1,3,1,2
"79","0112 10th & Oak",1,1,1,2
