"","id","fast_greedy","walks","infomap","louvain"
"1","0208 Arbutus Greenway & Broadway",1,3,1,1
"2","0001 10th & Cambie",1,4,1,1
"3","0004 Yaletown-Roundhouse Station",5,5,1,3
"4","0005 Dunsmuir & Beatty",5,5,1,3
"5","0006 Olympic Village Station",3,3,1,4
"6","0007 12th & Yukon",1,4,1,1
"7","0008 8th & Ash",3,3,1,4
"8","0009 Spyglass & Seawall",3,3,1,4
"9","0010 Stamp's Landing",3,3,1,4
"10","0011 Ontario & Seawall",3,3,1,4
"11","0012 Dunsmuir & Richards",5,5,1,3
"12","0015 Granville & Georgia",5,5,1,3
"13","0017 Marinaside & Davie",3,3,1,4
"14","0021 Cordova & Granville",5,5,1,3
"15","0024 Hornby & Pender",5,5,1,3
"16","0025 Homer & Robson",5,5,1,3
"17","0026 Beatty & Robson",5,5,1,3
"18","0027 Beatty & Nelson",5,3,1,3
"19","0030 Abbott & Cordova",3,5,1,4
"20","0032 Comox & Denman",5,5,1,3
"21","0033 Robson & Denman",4,2,1,2
"22","0036 Bute & Robson",5,5,1,3
"23","0037 Hornby & Nelson",5,5,1,3
"24","0039 Helmcken & Burrard",5,5,1,3
"25","0044 Pacific & Richards",5,5,1,3
"26","0047 Chilco & Beach",4,2,1,2
"27","0048 Comox & Broughton",5,5,1,3
"28","0050 Bute & Comox",5,5,1,3
"29","0053 Keefer & Abbott",3,3,1,4
"30","0054 Expo & Carrall",3,3,1,4
"31","0055 Keefer & Columbia",3,3,1,4
"32","0057 Marinaside & Cooperage",3,3,1,4
"33","0058 Homer & Smithe",3,3,1,4
"34","0060 Bidwell & Burnaby",5,5,1,3
"35","0063 Robson & Granville",5,5,1,3
"36","0064 Expo & Smithe",3,3,1,4
"37","0065 Cypress & Cornwall",5,5,1,3
"38","0066 Anderson & 2nd",3,3,1,4
"39","0068 Cypress & Broadway",1,4,1,1
"40","0069 7th & Granville",3,3,1,4
"41","0070 10th & Granville",1,4,1,1
"42","0071 14th & Granville",1,4,1,1
"43","0072 14th & Cambie",1,4,1,1
"44","0073 Ontario & 5th",3,3,1,4
"45","0074 10th & Main",1,4,1,1
"46","0076 Cypress & 4th",5,3,1,3
"47","0078 Nelson & Mainland",5,3,1,4
"48","0079 Nelson & Richards",5,5,1,3
"49","0080 Laurel & Broadway",1,4,1,1
"50","0081 7th & Heather",3,3,1,4
"51","0082 Richards & Davie",5,5,1,3
"52","0083 Aquatic Centre",4,2,1,2
"53","0088 Harwood & Bute",5,5,1,3
"54","0089 Burrard & Drake",5,5,1,3
"55","0092 Chilco & Barclay",4,2,1,3
"56","0098 Carrall & Hastings",3,3,1,4
"57","0099 Vancouver Art Gallery - North Plaza",5,5,1,3
"58","0106 Heather & 14th",1,4,1,1
"59","0107 8th & Ontario",3,3,1,4
"60","0109 7th & Arbutus",3,3,1,1
"61","0110 5th & Arbutus",1,3,1,1
"62","0112 10th & Oak",1,4,1,1
"63","0114 Cypress & 14th",1,3,1,1
"64","0115 Cypress & 16th",1,3,1,1
"65","0119 3rd & Quebec",3,3,1,4
"66","0125 Hamilton & Robson",5,5,1,3
"67","0129 Richards & Robson",5,5,1,3
"68","0130 Heather & 16th",1,4,1,1
"69","0132 14th & Ontario",1,4,1,1
"70","0133 Ontario & 16th",1,4,1,1
"71","0134 14th & Main",1,4,1,1
"72","0136 David Lam Park - West",4,2,1,2
"73","0137 Beach & Seymour",5,5,1,3
"74","0138 Richards & Helmcken",5,5,1,3
"75","0139 Burrard & 4th",5,5,1,3
"76","0140 Burrard & 7th",1,3,1,1
"77","0148 Creekside Park North",3,3,1,4
"78","0150 Alexander & Main",3,3,1,4
"79","0152 Arbutus Greenway & 14th",1,3,1,1
"80","0153 Arbutus Greenway & Fir",1,3,1,1
"81","0161 Alexander & Dunlevy",3,3,1,4
"82","0165 Columbia & 4th",3,3,1,4
"83","0166 Alder & 11th",1,4,1,1
"84","0167 Cordova & Columbia",3,3,1,4
"85","0171 5th & Yukon",3,3,1,4
"86","0172 10th & Columbia",1,4,1,1
"87","0173 1st & Columbia",3,3,1,4
"88","0174 1st & Ontario",3,3,1,4
"89","0176 10th & Ontario",1,4,1,1
"90","0186 10th & Kingsway",1,4,1,1
"91","0190 Melville & Bute",5,5,1,3
"92","0193 Science World",3,3,1,4
"93","0197 1st & Main",3,3,1,4
"94","0198 6th & Main",3,3,1,4
"95","0199 Georgia & Main",3,3,1,4
"96","0202 14th & Oak",1,4,1,1
"97","0203 Pine & 14th",1,3,1,1
"98","0205 Pine & 10th",1,3,1,1
"99","0206 8th & Scotia",1,1,1,4
"100","0211 14th & Alder",1,4,1,1
"101","0218 Carrall & Seawall",3,3,1,4
"102","0223 Commercial & Adanac",3,3,1,4
"103","0231 Napier & Commercial",3,1,1,4
"104","0233 Thornton & National",3,3,1,4
"105","0235 Charles & Commercial",3,1,1,4
"106","0236 Keith & 6th",3,1,1,4
"107","0237 Glen & 6th",3,1,1,4
"108","0239 Grant & Commercial",3,1,1,4
"109","0240 2nd & Commercial",3,1,1,4
"110","0242 8th & Commercial",3,1,1,4
"111","0244 10th & Commercial",1,1,1,1
"112","0245 Woodland & 10th",1,1,1,1
"113","0246 Glen & Broadway",1,1,1,1
"114","0248 St George & Broadway",1,4,1,1
"115","0249 7th & Woodland",3,1,1,4
"116","0250 Woodland & 4th",3,1,1,4
"117","0252 Woodland & Graveley",3,1,1,4
"118","0253 Charles & Woodland",3,1,1,4
"119","0254 Grandview Bike Lane & Commercial",3,1,1,4
"120","0255 18th & Main",1,4,1,1
"121","0256 Prince Edward & 16th",1,4,1,1
"122","0257 Prince Edward & 14th",1,4,1,1
"123","0258 13th & St George",1,4,1,1
"124","0260 10th & Fraser",1,4,1,1
"125","0261 8th & Fraser",3,1,1,4
"126","0262 8th & Prince Edward",3,1,1,4
"127","0265 St Catherines & 10th",1,1,1,4
"128","0266 St Catherines & 7th",3,1,1,4
"129","0273 Victoria & 4th",3,1,1,4
"130","0274 Victoria & 10th",1,1,1,1
"131","0283 15th & Knight",1,1,1,1
"132","0287 Carolina & Great Northern Way",3,1,1,4
"133","0297 6th & Prince Edward",3,1,1,4
"134","0298 6th & Carolina",3,1,1,4
